Drug name	Disease name
Phentermine	Prolactin Deficiency With Obesity And Enlarged Testes
Phentolamine	Bernard-Soulier Syndrome; Bss
Phentolamine	Hypertension, Diastolic, Resistance To
Phentolamine	May-Hegglin Anomaly; Mha
Phentolamine	Pheochromocytoma
Phentolamine	Renal Failure, Progressive, With Hypertension
Phentolamine	Thrombasthenia Of Glanzmann And Naegeli
Phenylephrine	Glaucoma 1, Open Angle, A; Glc1A
Phenylephrine	Glaucoma 1, Open Angle, C; Glc1C
Phenylephrine	Glaucoma, Primary Open Angle; Poag
Phenylephrine	Hyperthermia, Cutaneous, With Headaches And Nausea
Phenylephrine	Insect Stings, Hypersensitivity To
Phenylephrine	Multiple System Atrophy; Msa
Phenylephrine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Phenylpropanolamine	Choroideremia With Deafness And Obesity
Phenylpropanolamine	Insect Stings, Hypersensitivity To
Phenylpropanolamine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Phenylpropanolamine	Obesity
Phenylpropanolamine	Prolactin Deficiency With Obesity And Enlarged Testes
Phenytoin	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Phenytoin	Cardiac Arrhythmia
Phenytoin	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Phenytoin	Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal
Pilocarpine	Renal Failure, Progressive, With Hypertension
Pimecrolimus	Dermatitis, Atopic
Pimecrolimus	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Pindolol	Hypertension, Diastolic, Resistance To
Pindolol	Renal Failure, Progressive, With Hypertension
Pioglitazone	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Pioglitazone	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Pioglitazone	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Pioglitazone	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Pirbuterol	Asthma, Nasal Polyps, And Aspirin Intolerance
Pirbuterol	Asthma, Susceptibility To
Piroxicam	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Piroxicam	Osteoarthritis Susceptibility 1; Os1
Piroxicam	Osteoarthritis Susceptibility 2; Os2
Piroxicam	Osteoarthritis Susceptibility 3; Os3
Piroxicam	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Porfimer	Esophageal Cancer
Pralidoxime	Myasthenia Gravis; Mg
Pramipexole	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Pramipexole	Paralysis Agitans, Juvenile, Of Hunt
Pramipexole	Parkinson Disease; Pd
Pramipexole	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Pravastatin	Hypercholesterolemia, Autosomal Dominant, Type B
Pravastatin	Stroke, Ischemic
Praziquantel	Schistosoma Mansoni Infection, Susceptibility/Resistance To
Prazosin	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Prazosin	Hypertension, Diastolic, Resistance To
Prazosin	Insensitivity To Pain With Hyperplastic Myelinopathy
Prazosin	Permanent Molars, Secondary Retention Of
Prazosin	Prostatic Hyperplasia, Benign; Bph
Prazosin	Raynaud Disease
Prazosin	Renal Failure, Progressive, With Hypertension
Prednisolone	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Prednisolone	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Prednisolone	Immune Suppression; Is
Prednisolone	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Prednisolone	Insect Stings, Hypersensitivity To
Prednisolone	Mismatch Repair Cancer Syndrome
Prednisolone	Multiple Sclerosis, Susceptibility To; Ms
Prednisone	Anemia, Autoimmune Hemolytic
Prednisone	Asthma, Nasal Polyps, And Aspirin Intolerance
Prednisone	Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia;
Prednisone	Autoimmune Disease
Prednisone	Dermatosis Papulosa Nigra
Prednisone	Dohle Bodies And Leukemia
Prednisone	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Prednisone	Exostoses Of Heel
Prednisone	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Prednisone	Hypercalcemia, Idiopathic, Of Infancy
Prednisone	Immune Suppression; Is
Prednisone	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Prednisone	Insect Stings, Hypersensitivity To
Prednisone	Lichen Sclerosus Et Atrophicus; Lsa
Prednisone	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Prednisone	Migraine With Or Without Aura, Susceptibility To, 1
Prednisone	Mismatch Repair Cancer Syndrome
Prednisone	Multiple Sclerosis, Susceptibility To; Ms
Prednisone	Mycosis Fungoides
Prednisone	Sarcoidosis, Susceptibility To, 1; Ss1
Prednisone	Systemic Lupus Erythematosus; Sle
Prednisone	Thrombocytopenic Purpura, Autoimmune; Aitp
Pregabalin	Insensitivity To Pain With Hyperplastic Myelinopathy
Pregabalin	Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal
Pregabalin	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Prilocaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Primidone	Ataxia With Myoclonic Epilepsy And Presenile Dementia
Primidone	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Primidone	Epilepsy, Benign Neonatal, 2; Ebn2
Primidone	Epilepsy, Benign Occipital; Boe
Primidone	Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1
Primidone	Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2
Primidone	Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11
Primidone	Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7
Primidone	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
Primidone	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1
Primidone	Epilepsy, Photogenic
Primidone	Epilepsy, Reading
Primidone	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And
Primidone	Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior
Primidone	Retinal Degeneration And Epilepsy
Primidone	Tremor, Hereditary Essential, 1; Etm1
Primidone	Tremor, Nystagmus, And Duodenal Ulcer
Procainamide	Atrial Fibrillation, Familial, 1; Atfb1
Procainamide	Atrial Fibrillation, Familial, 3; Atfb3
Procainamide	Cardiac Arrhythmia
Procaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Prochlorperazine	Encephalopathy With Intracranial Calcification, Growth Hormone Deficiency,
Prochlorperazine	Encephalopathy, Acute Necrotizing 1, Susceptibility To; Ane1
Prochlorperazine	Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,
Prochlorperazine	Hyperthermia, Cutaneous, With Headaches And Nausea
Prochlorperazine	Peripheral Neuropathy, Ataxia, Focal Necrotizing Encephalopathy, And
Prochlorperazine	Spastic Paraplegia, Optic Atrophy, And Dementia
Procyclidine	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Procyclidine	Paralysis Agitans, Juvenile, Of Hunt
Procyclidine	Parkinson Disease; Pd
Progesterone	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Promethazine	Insect Stings, Hypersensitivity To
Promethazine	Motion Sickness
Promethazine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Propafenone	Atrial Fibrillation, Familial, 3; Atfb3
Propoxyphene	Insensitivity To Pain With Hyperplastic Myelinopathy
Propranolol	Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes
Propranolol	Cardiac Arrhythmia
Propranolol	Hemangiomas, Cavernous, Of Face And Supraumbilical Midline Raphe
Propranolol	Hypertension, Diastolic, Resistance To
Propranolol	Migraine With Or Without Aura, Susceptibility To, 1
Propranolol	Migraine, Familial Typical, Susceptibility To, 2
Propranolol	Mitral Valve Prolapse, Familial; Mvp
Propranolol	Pheochromocytoma
Propranolol	Renal Failure, Progressive, With Hypertension
Propranolol	Tremor, Hereditary Essential, 1; Etm1
Propylthiouracil	Graves Disease
Pseudoephedrine	Asthma, Nasal Polyps, And Aspirin Intolerance
Pseudoephedrine	Asthma, Susceptibility To
Pseudoephedrine	Hyperthermia, Cutaneous, With Headaches And Nausea
Pseudoephedrine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Pyridostigmine	Motor Neuropathy, Peripheral, With Dysautonomia
Pyridostigmine	Myasthenia Gravis; Mg
Pyridoxal Phosphate	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Pyridoxal Phosphate	Hyperphosphatemia, Polyuria, And Seizures
Pyridoxine	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Pyridoxine	Hyperphosphatemia, Polyuria, And Seizures
Quetiapine	Obsessive-Compulsive Disorder; Ocd
Quetiapine	Schizophrenia; Sczd
Quinapril	Hypertension, Diastolic, Resistance To
Quinapril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Quinapril	Renal Failure, Progressive, With Hypertension
Quinidine	Atrial Fibrillation, Familial, 1; Atfb1
Quinidine	Atrial Fibrillation, Familial, 3; Atfb3
Quinidine	Cardiac Arrhythmia
Quinine	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Rabeprazole	Gastroesophageal Reflux
Rabeprazole	Helicobacter Pylori Infection, Susceptibility To
Rabeprazole	Tremor, Nystagmus, And Duodenal Ulcer
Raloxifene	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Raloxifene	Breast Cancer
Raloxifene	Osteoporosis
Ramipril	Hypertension, Diastolic, Resistance To
Ramipril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Ramipril	Renal Failure, Progressive, With Hypertension
Ranitidine	Gastroesophageal Reflux
Ranitidine	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Ranitidine	Tremor, Nystagmus, And Duodenal Ulcer
Rasagiline	Paralysis Agitans, Juvenile, Of Hunt
Rasagiline	Parkinson Disease; Pd
Remifentanil	Insensitivity To Pain With Hyperplastic Myelinopathy
Repaglinide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Repaglinide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Repaglinide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Repaglinide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Reserpine	Hypertension, Diastolic, Resistance To
Reserpine	Renal Failure, Progressive, With Hypertension
Riboflavin	Hyperthermia, Cutaneous, With Headaches And Nausea
Rifampin	Leprosy, Susceptibility To, 3; Lprs3
Risedronate	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Risedronate	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Risedronate	Osteoporosis
Risedronate	Paget Disease Of Bone; Pdb
Risperidone	Asperger Syndrome, X-Linked, Susceptibility To, 1
Risperidone	Encephalopathy With Intracranial Calcification, Growth Hormone Deficiency,
Risperidone	Encephalopathy, Acute Necrotizing 1, Susceptibility To; Ane1
Risperidone	Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,
Risperidone	Gilles De La Tourette Syndrome; Gts
Risperidone	Peripheral Neuropathy, Ataxia, Focal Necrotizing Encephalopathy, And
Risperidone	Schizophrenia; Sczd
Risperidone	Spastic Paraplegia, Optic Atrophy, And Dementia
Rivastigmine	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And
Rivastigmine	Alzheimer Disease; Ad
Rivastigmine	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Rivastigmine	Paralysis Agitans, Juvenile, Of Hunt
Rizatriptan	Migraine With Or Without Aura, Susceptibility To, 1
Rofecoxib	Migraine With Or Without Aura, Susceptibility To, 1
Ropinirole	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Ropinirole	Paralysis Agitans, Juvenile, Of Hunt
Ropinirole	Parkinson Disease; Pd
Ropinirole	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Rosiglitazone	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Rosiglitazone	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Rosiglitazone	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Rosiglitazone	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Rosuvastatin	Hypercholesterolemia, Autosomal Dominant, Type B
Salbutamol	Asthma, Nasal Polyps, And Aspirin Intolerance
Salbutamol	Asthma, Susceptibility To
Salicyclic Acid	Ankylosing Vertebral Hyperostosis With Tylosis
Salicyclic Acid	Dermatosis Papulosa Nigra
Salicyclic Acid	Insensitivity To Pain With Hyperplastic Myelinopathy
Salicyclic Acid	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Salmeterol	Asthma, Nasal Polyps, And Aspirin Intolerance
Salmeterol	Asthma, Susceptibility To
Salmon Calcitonin	Hypercalcemia, Idiopathic, Of Infancy
Salmon Calcitonin	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Salmon Calcitonin	Osteoporosis
Salmon Calcitonin	Paget Disease Of Bone; Pdb
Salsalate	Hyperthermia, Cutaneous, With Headaches And Nausea
Salsalate	Insensitivity To Pain With Hyperplastic Myelinopathy
Saquinavir	Autoimmune Disease
Scopolamine	Aortic Arch Interruption, Facial Palsy, And Retinal Coloboma
Scopolamine	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Scopolamine	Enterocolitis
Scopolamine	Motion Sickness
Scopolamine	Paralysis Agitans, Juvenile, Of Hunt
Scopolamine	Parkinson Disease; Pd
Scopolamine	Tremor, Nystagmus, And Duodenal Ulcer
Sermorelin	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Sertraline	Camurati-Engelmann Disease
Sertraline	Motor Neuropathy, Peripheral, With Dysautonomia
Sertraline	Obsessive-Compulsive Disorder; Ocd
Sertraline	Panic Disorder 1; Pand1
Sibutramine	Choroideremia With Deafness And Obesity
Sibutramine	Obesity
Sibutramine	Prolactin Deficiency With Obesity And Enlarged Testes
Sildenafil	Pulmonary Hypertension, Primary, 1; Pph1
Sildenafil	Renal Failure, Progressive, With Hypertension
Simvastatin	Hypercholesterolemia, Autosomal Dominant, Type B
Sitagliptin	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Sitagliptin	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Sitagliptin	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Sitagliptin	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Sodium Tetradecyl Sulfate	Varicose Veins
Sorafenib	Hepatocellular Carcinoma
Sorafenib	Leiomyomatosis And Renal Cell Cancer, Hereditary
Sorafenib	Renal Cell Carcinoma, Nonpapillary; Rcc
Sorafenib	Thyroid Carcinoma, Follicular; Ftc
Sotalol	Atrial Fibrillation, Familial, 1; Atfb1
Sotalol	Atrial Fibrillation, Familial, 3; Atfb3
Spironolactone	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Spironolactone	Ascites, Chylous
Spironolactone	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Spironolactone	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Spironolactone	Hypertension, Diastolic, Resistance To
Spironolactone	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Spironolactone	Renal Failure, Progressive, With Hypertension
Streptozocin	Hodgkin Lymphoma
Sucralfate	Gastroesophageal Reflux
Sucralfate	Renal Failure, Progressive, With Hypertension
Sucralfate	Tremor, Nystagmus, And Duodenal Ulcer
Sulfasalazine	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Sulfasalazine	Inflammatory Bowel Disease 1; Ibd1
Sulindac	Adenomatous Polyposis Of The Colon; Apc
Sulindac	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Sulindac	Exostoses With Anetodermia And Brachydactyly, Type E
Sulindac	Insensitivity To Pain With Hyperplastic Myelinopathy
Sulindac	Osteoarthritis Susceptibility 1; Os1
Sulindac	Osteoarthritis Susceptibility 2; Os2
Sulindac	Osteoarthritis Susceptibility 3; Os3
Sulindac	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Sumatriptan	Migraine With Or Without Aura, Susceptibility To, 1
Sumatriptan	Migraine, Familial Typical, Susceptibility To, 2
Sunitinib	Leiomyomatosis And Renal Cell Cancer, Hereditary
Sunitinib	Renal Cell Carcinoma, Nonpapillary; Rcc
Tacrine	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And
Tacrine	Alzheimer Disease; Ad
Tacrine	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Tacrolimus	Dermatitis, Atopic
Tadalafil	Pulmonary Hypertension, Primary, 1; Pph1
Tadalafil	Renal Failure, Progressive, With Hypertension
Tamoxifen	Breast Cancer
Tamoxifen	Mccune-Albright Syndrome; Mas
Tamsulosin	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Tamsulosin	Insensitivity To Pain With Hyperplastic Myelinopathy
Tamsulosin	Nephrolithiasis, X-Linked Recessive, With Renal Failure; Xrn
Tamsulosin	Prostatic Hyperplasia, Benign; Bph
Telmisartan	Hypertension, Diastolic, Resistance To
Telmisartan	Hypertension, Essential
Telmisartan	Renal Failure, Progressive, With Hypertension
Temozolomide	Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2
Temozolomide	Melanoma, Cutaneous Malignant; Cmm
Temozolomide	Mismatch Repair Cancer Syndrome
Temsirolimus	Leiomyomatosis And Renal Cell Cancer, Hereditary
Temsirolimus	Renal Cell Carcinoma, Nonpapillary; Rcc
Teniposide	Dohle Bodies And Leukemia
Teniposide	Hodgkin Lymphoma
Teniposide	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Teniposide	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Teniposide	Reticulum Cell Sarcoma
Teniposide	Small Cell Cancer Of The Lung
Terazosin	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Terazosin	Hyperhidrosis Palmaris Et Plantaris
Terazosin	Hypertension, Diastolic, Resistance To
Terazosin	Insensitivity To Pain With Hyperplastic Myelinopathy
Terazosin	Permanent Molars, Secondary Retention Of
Terazosin	Prostatic Hyperplasia, Benign; Bph
Terazosin	Renal Failure, Progressive, With Hypertension
Terbutaline	Asthma, Nasal Polyps, And Aspirin Intolerance
Terbutaline	Asthma, Susceptibility To
Terbutaline	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Terfenadine	Insect Stings, Hypersensitivity To
Teriparatide	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Teriparatide	Cardioneuromyopathy With Hyaline Masses And Nemaline Rods
Teriparatide	Osteoporosis
Testosterone	Breast Cancer
Testosterone	Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic
Testosterone	Hypogonadism, Male
Tetrabenazine	Huntington Disease; Hd
Tetracycline	Geographic Tongue And Fissured Tongue
Tetracycline	Helicobacter Pylori Infection, Susceptibility To
Tetracycline	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Thalidomide	Leprosy, Susceptibility To, 3; Lprs3
Thalidomide	Myeloma, Multiple
Theophylline	Asthma, Nasal Polyps, And Aspirin Intolerance
Theophylline	Asthma, Susceptibility To
Theophylline	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Thioguanine	Leukemia, Acute Myeloid; Aml
Thioridazine	Schizophrenia; Sczd
Thiothixene	Schizophrenia; Sczd
Tiagabine	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Ticlopidine	Thrombosis, Susceptibility To
Tiludronate	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
Tiludronate	Paget Disease Of Bone; Pdb
Timolol	Glaucoma 1, Open Angle, A; Glc1A
Timolol	Glaucoma 1, Open Angle, C; Glc1C
Timolol	Glaucoma, Primary Open Angle; Poag
Timolol	Hypertension, Diastolic, Resistance To
Timolol	Migraine With Or Without Aura, Susceptibility To, 1
Timolol	Migraine, Familial Typical, Susceptibility To, 2
Timolol	Renal Failure, Progressive, With Hypertension
Tirofiban	Coronary Artery Disease, Autosomal Dominant, 1; Adcad1
Tizanidine	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Tizanidine	Choreoathetosis/Spasticity, Episodic; Cse
Tizanidine	Migraine With Or Without Aura, Susceptibility To, 1
Tizanidine	Myositis
Tizanidine	Trigeminal Neuralgia
Tolazamide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Tolazamide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Tolazamide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Tolazamide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Tolbutamide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Tolbutamide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Tolbutamide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Tolbutamide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Tolcapone	Paralysis Agitans, Juvenile, Of Hunt
Tolcapone	Parkinson Disease; Pd
Tolmetin	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Tolmetin	Osteoarthritis Susceptibility 1; Os1
Tolmetin	Osteoarthritis Susceptibility 2; Os2
Tolmetin	Osteoarthritis Susceptibility 3; Os3
Tolmetin	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Topiramate	Bulimia Nervosa, Susceptibility To, 1; Buln1
Topiramate	Epileptic Encephalopathy, Early Infantile, 1
Topiramate	Insensitivity To Pain With Hyperplastic Myelinopathy
Topiramate	Migraine With Or Without Aura, Susceptibility To, 1
Topiramate	Migraine, Familial Typical, Susceptibility To, 2
Topiramate	Myoclonic Epilepsy, Infantile
Topiramate	Prolactin Deficiency With Obesity And Enlarged Testes
Topotecan	Mismatch Repair Cancer Syndrome
Topotecan	Small Cell Cancer Of The Lung
Torasemide	Ascites, Chylous
Torasemide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Torasemide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Torasemide	Hypertension, Diastolic, Resistance To
Torasemide	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Torasemide	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy
Torasemide	Renal Failure, Progressive, With Hypertension
Tramadol	Insensitivity To Pain With Hyperplastic Myelinopathy
Tramadol	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Trandolapril	Hypertension, Diastolic, Resistance To
Trandolapril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Trandolapril	Renal Failure, Progressive, With Hypertension
Tranexamic Acid	Factor V And Factor Viii, Combined Deficiency Of; F5F8D
Tranexamic Acid	Factor Vii And Factor Viii, Combined Deficiency Of
Tranexamic Acid	Factor Viii And Factor Ix, Combined Deficiency Of; F8F9D
Tranexamic Acid	Factor Viii Deficiency
Tranexamic Acid	Factors Viii, Ix And Xi, Combined Deficiency Of
Travoprost	Glaucoma 1, Open Angle, A; Glc1A
Travoprost	Glaucoma 1, Open Angle, C; Glc1C
Travoprost	Glaucoma, Primary Open Angle; Poag
Travoprost	Renal Failure, Progressive, With Hypertension
Treprostinil	Pulmonary Hypertension, Primary, 1; Pph1
Treprostinil	Renal Failure, Progressive, With Hypertension
Tretinoin	Hyperpigmentation Of Eyelids
Tretinoin	Hyperpigmentation Of Fuldauer And Kuijpers
Tretinoin	Keratosis, Seborrheic
Tretinoin	Lichen Sclerosus Et Atrophicus; Lsa
Tretinoin	Mismatch Repair Cancer Syndrome
Tretinoin	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Triamcinolone	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Triamcinolone	Asthma, Nasal Polyps, And Aspirin Intolerance
Triamcinolone	Candidiasis, Familial, 1; Candf1
Triamcinolone	Dohle Bodies And Leukemia
Triamcinolone	Exostoses Of Heel
Triamcinolone	Insect Stings, Hypersensitivity To
Triamcinolone	Keloids
Triamcinolone	Lichen Sclerosus Et Atrophicus; Lsa
Triamcinolone	Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal
Triamcinolone	Pityriasis Rubra Pilaris
Triamcinolone	Sarcoidosis, Susceptibility To, 1; Ss1
Triamcinolone	Systemic Lupus Erythematosus; Sle
Triamcinolone	Thrombocytopenic Purpura, Autoimmune; Aitp
Triamterene	Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis
Triamterene	Ascites, Chylous
Triamterene	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Triamterene	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Triamterene	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Trifluoperazine	Schizophrenia; Sczd
Triflupromazine	Hyperthermia, Cutaneous, With Headaches And Nausea
Triflupromazine	Insensitivity To Pain With Hyperplastic Myelinopathy
Trihexyphenidyl	Paralysis Agitans, Juvenile, Of Hunt
Trimethoprim	Asthma, Nasal Polyps, And Aspirin Intolerance
Trimethoprim	Otitis Media, Susceptibility To
Trimethoprim	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Trimetrexate	Autoimmune Disease
Urea	Pityriasis Rubra Pilaris
Valdecoxib	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Valdecoxib	Osteoarthritis Susceptibility 1; Os1
Valdecoxib	Osteoarthritis Susceptibility 2; Os2
Valdecoxib	Osteoarthritis Susceptibility 3; Os3
Valdecoxib	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Valproic Acid	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Valproic Acid	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And
Valproic Acid	Alzheimer Disease; Ad
Valproic Acid	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Valproic Acid	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Valproic Acid	Hyperphosphatemia, Polyuria, And Seizures
Valproic Acid	Schizophrenia; Sczd
Valrubicin	Bladder Cancer
Valsartan	Hypertension, Diastolic, Resistance To
Valsartan	Renal Failure, Progressive, With Hypertension
Vasopressin	Diabetes Insipidus, Neurohypophyseal
Vasopressin	Diabetes Insipidus, Neurohypophyseal Type
Venlafaxine	Attention Deficit-Hyperactivity Disorder; Adhd
Venlafaxine	Bulimia Nervosa, Susceptibility To, 1; Buln1
Venlafaxine	Camurati-Engelmann Disease
Venlafaxine	Insensitivity To Pain With Hyperplastic Myelinopathy
Venlafaxine	Obsessive-Compulsive Disorder; Ocd
Venlafaxine	Panic Disorder 1; Pand1
Verapamil	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Verapamil	Atrial Fibrillation, Familial, 1; Atfb1
Verapamil	Atrial Fibrillation, Familial, 3; Atfb3
Verapamil	Cardiac Arrhythmia
Verapamil	Cardiomyopathy, Familial Hypertrophic, 2; Cmh2
Verapamil	Hypertension, Diastolic, Resistance To
Verapamil	Migraine With Or Without Aura, Susceptibility To, 1
Verapamil	Renal Failure, Progressive, With Hypertension
Vigabatrin	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Vigabatrin	Epileptic Encephalopathy, Early Infantile, 1
Vigabatrin	Myoclonic Epilepsy, Infantile
Vinblastine	Breast Cancer
Vinblastine	Hodgkin Lymphoma
Vinblastine	Kaposi Sarcoma
Vinblastine	Mismatch Repair Cancer Syndrome
